leaf_code,category_path,l1
01.002.003.013,劳保 / 身体防护 / 工作服 / 冬季工装,劳保
01.002.003.014,劳保 / 身体防护 / 工作服 / 裤子,劳保
01.002.003.015,劳保 / 身体防护 / 工作服 / 白大褂,劳保
01.002.003.016,劳保 / 身体防护 / 工作服 / 耐酸碱服,劳保
01.002.004.001,劳保 / 身体防护 / 其它身体防护 / 围裙,劳保
01.002.004.002,劳保 / 身体防护 / 其它身体防护 / 皮带,劳保
01.002.004.003,劳保 / 身体防护 / 其它身体防护 / 披肩,劳保
01.002.004.004,劳保 / 身体防护 / 其它身体防护 / 套袖,劳保
01.002.004.005,劳保 / 身体防护 / 其它身体防护 / 焊接防护辅件,劳保
01.002.004.006,劳保 / 身体防护 / 其它身体防护 / 屏风及配件,劳保
01.002.004.007,劳保 / 身体防护 / 其它身体防护 / 消防腰带,劳保
01.002.004.008,劳保 / 身体防护 / 其它身体防护 / 护肘,劳保
01.002.004.009,劳保 / 身体防护 / 其它身体防护 / 护膝,劳保
01.002.004.010,劳保 / 身体防护 / 其它身体防护 / 绑腿,劳保
01.002.004.011,劳保 / 身体防护 / 其它身体防护 / 内衣裤,劳保
01.002.005.001,劳保 / 身体防护 / 商务及休闲服装 / 羽绒服,劳保
01.002.005.002,劳保 / 身体防护 / 商务及休闲服装 / 运动休闲装,劳保
01.002.005.003,劳保 / 身体防护 / 商务及休闲服装 / 西装,劳保
01.002.005.004,劳保 / 身体防护 / 商务及休闲服装 / 作训鞋,劳保
01.002.005.005,劳保 / 身体防护 / 商务及休闲服装 / 行政鞋,劳保
01.002.005.006,劳保 / 身体防护 / 商务及休闲服装 / 拖鞋,劳保
01.002.005.007,劳保 / 身体防护 / 商务及休闲服装 / 防静电鞋,劳保
01.002.005.008,劳保 / 身体防护 / 商务及休闲服装 / 布鞋,劳保
01.003.001.001,劳保 / 呼吸防护 / 口罩 / 颗粒物防护口罩,劳保
01.003.001.002,劳保 / 呼吸防护 / 口罩 / 一次性口罩,劳保
01.003.001.003,劳保 / 呼吸防护 / 口罩 / 防毒口罩,劳保
01.003.001.004,劳保 / 呼吸防护 / 口罩 / 口罩配件,劳保
01.003.001.005,劳保 / 呼吸防护 / 口罩 / 一次性医用口罩,劳保
01.003.001.006,劳保 / 呼吸防护 / 口罩 / 医用防护口罩,劳保
01.003.001.007,劳保 / 呼吸防护 / 口罩 / 纱布口罩,劳保
01.003.001.008,劳保 / 呼吸防护 / 口罩 / 喷砂服,劳保
01.003.001.009,劳保 / 呼吸防护 / 口罩 / 医用隔离衣,劳保
01.003.001.010,劳保 / 呼吸防护 / 口罩 / 防蜂服,劳保
01.003.001.011,劳保 / 呼吸防护 / 口罩 / 防寒服,劳保
01.003.001.012,劳保 / 呼吸防护 / 口罩 / 隔热服,劳保
01.003.001.013,劳保 / 呼吸防护 / 口罩 / 焊接防护服,劳保
01.003.001.014,劳保 / 呼吸防护 / 口罩 / 超低温防护服,劳保
01.003.001.015,劳保 / 呼吸防护 / 口罩 / 耐高温防护服,劳保
01.003.001.016,劳保 / 呼吸防护 / 口罩 / 重型防化服,劳保
01.003.001.017,劳保 / 呼吸防护 / 口罩 / 中型防化服,劳保
01.003.001.018,劳保 / 呼吸防护 / 口罩 / 轻型防护服,劳保
01.003.001.019,劳保 / 呼吸防护 / 口罩 / 医用防护服,劳保
01.003.002.001,劳保 / 呼吸防护 / 呼吸器 / 供气设备及配件,劳保
01.003.002.002,劳保 / 呼吸防护 / 呼吸器 / 长管供气呼吸器,劳保
